Income,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Education,Wines,Fruits,Meat,Fish,Sweets,Gold
58138.0,66.0,1617.0,0,0,1,0,0,635,88,546,172,88,88
46344.0,69.0,27.0,0,2,3,1,0,11,1,6,2,1,6
71613.0,58.0,776.0,1,0,2,0,0,426,49,127,111,21,42
26646.0,39.0,53.0,1,1,3,1,0,11,4,20,10,3,5
58293.0,42.0,422.0,1,1,3,1,1,173,43,118,46,27,15
62513.0,56.0,716.0,1,1,3,1,1,520,42,98,0,42,14
55635.0,52.0,590.0,0,1,2,1,0,235,65,164,50,49,27
33454.0,38.0,169.0,1,1,3,1,1,76,10,56,3,1,23
30351.0,49.0,46.0,1,1,3,1,1,14,0,24,3,3,2
5648.0,73.0,49.0,1,2,4,1,1,28,0,6,1,1,13
52247.25135379061,40.0,19.0,1,1,3,1,0,5,5,6,0,2,1
7500.0,47.0,61.0,1,0,2,0,2,6,16,11,11,1,16
63033.0,64.0,1102.0,0,0,1,0,0,194,61,480,225,112,30
59354.0,71.0,310.0,0,2,3,1,1,233,2,53,3,5,14
17323.0,36.0,46.0,1,0,2,0,0,3,14,17,6,1,5
82800.0,77.0,1315.0,0,0,1,0,1,1006,22,115,59,68,45
41850.0,43.0,96.0,1,2,4,1,0,53,5,19,2,13,4
37760.0,77.0,317.0,1,0,2,0,0,84,5,38,150,12,28
76995.0,74.0,1782.0,1,1,3,1,1,1012,80,498,0,16,176
33812.0,38.0,133.0,0,1,2,1,2,4,17,19,30,24,39
37040.0,41.0,316.0,1,0,2,0,0,86,2,73,69,38,48
2447.0,44.0,1730.0,1,1,3,1,0,1,1,1725,1,1,1
58607.0,74.0,972.0,1,1,3,1,1,867,0,86,0,0,19
65324.0,69.0,544.0,1,1,3,1,1,384,0,102,21,32,5
40689.0,72.0,444.0,1,1,3,1,0,270,3,27,39,6,99
18589.0,54.0,75.0,0,0,1,0,0,6,4,25,15,12,13
53359.0,47.0,257.0,1,2,4,1,0,173,4,30,3,6,41
52247.25135379061,37.0,637.0,0,1,2,1,0,5,1,3,3,263,362
38360.0,34.0,131.0,1,1,3,1,0,36,2,42,20,21,10
84618.0,58.0,1672.0,1,0,2,0,1,684,100,801,21,66,0
10979.0,34.0,30.0,0,0,1,0,1,8,4,10,2,2,4
38620.0,60.0,318.0,1,0,2,0,1,112,17,44,34,22,89
40548.0,53.0,120.0,1,1,3,1,0,110,0,5,2,0,3
46610.0,71.0,302.0,0,2,3,1,1,96,12,96,33,22,43
68657.0,77.0,1196.0,1,0,2,0,1,482,34,471,119,68,22
49389.0,72.0,65.0,0,2,3,1,1,40,0,19,2,1,3
67353.0,53.0,913.0,1,1,3,1,1,702,17,151,0,8,35
23718.0,47.0,81.0,1,1,3,1,2,6,3,14,15,7,36
42429.0,50.0,67.0,0,1,2,1,0,55,0,6,2,0,4
48948.0,80.0,902.0,0,0,1,0,1,437,8,206,160,49,42
80011.0,43.0,1395.0,1,1,3,1,0,421,76,536,82,178,102
20559.0,38.0,53.0,1,1,3,1,1,13,1,29,3,0,7
21994.0,66.0,22.0,1,1,3,1,0,9,0,6,3,1,3
52247.25135379061,64.0,186.0,0,0,1,0,1,81,11,50,3,2,39
7500.0,48.0,31.0,1,1,3,1,1,3,1,10,3,2,12
79941.0,47.0,984.0,0,0,1,0,0,123,164,266,227,30,174
7500.0,27.0,122.0,1,0,2,0,2,3,18,14,15,22,50
41728.0,55.0,55.0,1,1,3,1,0,13,6,15,3,5,13
52247.25135379061,72.0,124.0,0,3,4,1,0,48,5,48,6,10,7
72550.0,69.0,1319.0,1,2,4,1,1,826,50,317,50,38,38
